Name	target	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	FractionCSP3	HallKierAlpha	HeavyAtomCount	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	MolLogP	MolMR	MolWt	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	RingCount	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9
48414923	0.037630664	2	1.447213596	1.447213596	1	0.447213596	0.447213596	0	0	0	0	0	0	0	0	0	0	0	7.109797541	0	0	0	0	5.106527395	1	-0.04	2	2	1.96	0.96	-27.04	13.53348478	-0.3915	8.1428	32.042	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	5.106527395	0	0	0	0	0	0	0	0	0	0	0	7.109797541	0	0	5.106527395	0	0	0	0	0	7.109797541	0	0	0	0	0	0	0	12.21632494	0	0	0	0	0	0	0	20.23	0	0	0	0	0	0	0	0	0	8
48415125	0.149353765	5.535533906	4.131102606	4.131102606	3.414213562	2.209805801	2.209805801	1.059586031	1.059586031	0.47124932	0.47124932	0.231161517	0.231161517	0	0	0	13.21376393	13.21376393	0	0	0	0	4.736862954	10.21305479	1	-0.12	7	35.50960993	6.88	5.88	5.88	42.5360901	-1.0124	24.9906	106.121	2	3	0	0	0	0	0	0	3	2	3	4	0	0	0	14.94991774	0	0	0	0	0	0	0	0	0	0	0	0	26.42752786	0	14.94991774	0	0	0	0	0	26.42752786	0	0	0	0	0	0	0	36.64058265	4.736862954	0	0	0	0	0	0	49.69	0	0	0	0	0	0	0	0	0	21.5
48415137	0.338187314	7.656854249	5.953564459	5.953564459	4.914213562	3.28715607	3.28715607	1.671958467	1.671958467	0.843257788	0.843257788	0.45107472	0.45107472	0	0	0	13.21376393	26.42752786	0	0	0	0	0	19.6867807	1	-0.16	10	175.076748	9.84	8.84	7.84	60.37951956	-0.9958	35.8096	150.174	2	4	0	0	0	0	0	0	4	2	4	7	0	0	0	19.6867807	0	0	0	0	0	0	0	0	0	0	0	0	39.64129179	0	19.6867807	0	0	0	0	0	39.64129179	0	0	0	0	0	0	0	49.85434658	9.473725908	0	0	0	0	0	0	58.92	0	0	0	0	0	0	0	0	0	28
48414927	0.361510743	3.577350269	2.816496581	3.632993162	1.732050808	0.983163248	2.949489743	0.741581624	2.224744871	0	0	0	0	10.79956904	4.208898492	0	0	0	0	0	12.51153837	0	0	0	1	0.15	4	3.245112498	4.15	1.467460317	126.3722222	28.47844735	-0.0053	19.9904	78.136	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4.208898492	0	0	0	0	0	23.31110741	0	0	4.208898492	10.79956904	0	0	0	0	12.51153837	0	0	0	0	0	0	0	16.72043686	10.79956904	0	0	0	0	0	0	17.07	0	-0.611111111	0	0	0	0	0	0	9.555555556	3.277777778
48415038	0.449771647	6.552041764	6.031495069	6.031495069	4.898979486	3.794733192	3.794733192	3.53180971	3.53180971	2.4	2.4	2.233712589	2.233712589	0	0	0	0	0	0	40.01214713	0	0	19.59963892	0	1	-0.16	10	344.3336205	5.485247443	1.707240443	0.645380388	60.58580282	-1.0198	36.558	140.19	0	4	0	4	4	0	0	0	4	0	4	0	0	4	4	0	0	0	0	0	0	19.59963892	0	0	0	0	0	0	40.01214713	4	0	0	0	19.59963892	0	0	40.01214713	0	0	0	0	0	0	0	59.61178606	0	0	0	0	0	0	0	12.96	0	0	0	0	0	0	0	0	0	17
48414916	0.496209317	2.707106781	2.154320377	2.154320377	1.414213562	1.023334547	1.023334547	0.316227766	0.316227766	0	0	0	0	0	0	0	6.606881965	0	0	0	6.9237372	0	0	5.106527395	1	-0.04	3	2.754887502	2.96	1.96	1.96	19.89842689	-0.0014	12.7598	46.069	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	5.106527395	0	0	0	0	0	0	0	0	0	0	6.9237372	6.606881965	0	0	5.106527395	0	0	0	0	6.9237372	6.606881965	0	0	0	0	0	0	0	11.71340936	0	0	6.9237372	0	0	0	0	20.23	0	0	0	0	0	0	0	0	0	9.5
48415133	0.70333481	6.949747468	5.799244082	5.799244082	4.414213562	3.178035086	3.178035086	1.532902659	1.532902659	0.811757273	0.811757273	0.428800493	0.428800493	0	0	0	6.606881965	19.82064589	6.606881965	0	0	6.9237372	0	14.5802533	1	-0.12	9	103.687916	8.88	7.88	7.88	55.58528581	0.0318	34.3978	134.175	1	3	0	0	0	0	0	0	3	1	3	6	0	0	0	14.5802533	0	0	0	0	0	0	0	0	0	0	6.9237372	6.606881965	26.42752786	0	14.5802533	0	0	0	0	6.9237372	33.03440982	0	0	0	0	0	0	0	38.14093722	9.473725908	0	6.9237372	0	0	0	0	38.69	0	0	0	0	0	0	0	0	0	22.5
48414924	0.841637508	3.577350269	3.024563865	3.024563865	1.732050808	1.412899428	1.412899428	1.093748049	1.093748049	0	0	0	0	0	0	0	6.103966388	0	0	0	13.8474744	0	0	5.106527395	1	-0.04	4	3.245112498	3.96	1.297837838	1128.96	26.26336901	0.3871	17.3548	60.096	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	5.106527395	0	0	0	0	0	0	0	0	0	0	13.8474744	6.103966388	0	0	5.106527395	0	0	0	0	19.95144079	0	0	0	0	0	0	0	0	11.21049378	0	0	13.8474744	0	0	0	0	20.23	0	0	0	0	0	0	0	0	0	11.33333333
48414946	0.88941029	7.068914101	5.316496581	5.316496581	4.021673935	2.65824829	2.65824829	2.53324829	2.53324829	1.22074829	1.22074829	0.631207479	0.631207479	11.57003976	9.589074368	0	5.907179729	0	0	0	13.8474744	0	10.63357721	0	0.6	-1.06	9	84.32313907	6.065944584	1.462392017	0.871540997	52.6159569	-0.3956	30.7534	128.131	2	4	0	1	1	0	0	0	2	2	4	0	0	1	1	5.316788604	5.538925252	0	0	5.907179729	6.031114512	10.11132579	4.794537184	0	0	0	13.8474744	0	0	1	9.589074368	11.93829424	0	10.63357721	0	19.38639965	0	0	0	0	10.63357721	4.794537184	0	0	17.47721949	4.794537184	0	13.8474744	0	0	0	0	58.2	0	0	0	0	0	0	0	0	0	27.58333333
48415037	0.899629455	6.905777394	5.755274008	5.755274008	4.138958434	3.065350032	3.065350032	2.633267932	2.633267932	1.270943039	1.270943039	0.853022138	0.853022138	5.787111153	0	0	12.71084835	6.606881965	0	0	0	13.8474744	0	14.5802533	1	-0.12	9	115.4035342	6.992612613	2.248388565	1.642287335	54.57945466	0.1302	31.9898	132.159	1	3	0	1	1	0	0	0	3	1	3	1	0	1	1	14.5802533	6.103966388	5.787111153	0	0	0	0	0	0	0	0	13.8474744	0	13.21376393	1	14.5802533	0	0	0	0	25.73855194	13.21376393	0	0	0	0	0	0	0	30.21136886	9.473725908	0	13.8474744	0	0	0	0	38.69	0	0	0	0	0	0	0	0	0	22.58333333
